brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
24.321226,24.321226,24.33714,24.33714,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.3367,24.3367,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33672,24.33672,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.337086,24.337086,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336796,24.336796,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336805,24.336805,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.3369,24.3369,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336828,24.336828,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33683,24.33683,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33686,24.33686,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336853,24.336853,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336843,24.336843,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33684,24.33684,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33684,24.33684,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336838,24.336838,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
